date,temperature,wind_speed,wind_direction,pressure,humidity
2023-12-1,24.0,5.0,207.0,1279.0,61.0
2023-12-2,14.0,40.0,219.0,1127.0,55.0
2023-12-3,0.0,19.0,354.0,1235.0,98.0
2023-12-4,9.0,25.0,104.0,508.0,69.0
2023-12-5,14.0,47.0,143.0,1931.0,91.0
2023-12-6,23.0,44.0,22.0,982.0,6.0
2023-12-7,1.0,45.0,122.0,72.0,26.0
2023-12-8,16.0,14.0,88.0,1352.0,30.0
2023-12-9,20.0,41.0,223.0,455.0,71.0
2023-12-10,14.0,6.0,141.0,1196.0,75.0
2023-12-11,27.0,5.0,357.0,1223.0,44.0
2023-12-12,21.0,40.0,188.0,576.0,15.0
2023-12-13,0.0,24.0,2.0,1384.0,76.0
2023-12-14,32.0,2.0,4.0,1560.0,93.0
2023-12-15,13.0,40.0,267.0,1028.0,10.0
2023-12-16,23.0,7.0,58.0,73.0,36.0
2023-12-17,23.0,7.0,26.0,879.0,21.0
2023-12-18,18.0,16.0,169.0,1422.0,50.0
2023-12-19,0.0,7.0,9.0,75.0,88.0
2023-12-20,2.0,35.0,211.0,1582.0,66.0
2023-12-21,32.0,29.0,77.0,557.0,86.0
2023-12-22,8.0,36.0,8.0,986.0,53.0
2023-12-23,4.0,12.0,255.0,387.0,88.0
2023-12-24,12.0,19.0,128.0,1184.0,95.0
2023-12-25,16.0,46.0,204.0,475.0,10.0
2023-12-26,31.0,17.0,347.0,363.0,25.0
2023-12-27,15.0,41.0,5.0,1031.0,88.0
2023-12-28,2.0,15.0,237.0,1282.0,6.0
2023-12-29,21.0,34.0,265.0,1761.0,62.0
2023-12-30,25.0,7.0,204.0,819.0,96.0
2023-12-31,7.0,20.0,148.0,313.0,92.0
